name,genre,trailer,poster
"The Shawshank Redemption","Drama","https://www.youtube.com/watch?v=xyXX8LXiNJ4","https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_.jpg"
"The Godfather","Crime,Drama","https://www.youtube.com/watch?v=8V2k2YQEQJ4","https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_.jpg"
"The Dark Knight","Action,Crime,Drama","https://www.youtube.com/watch?v=kmJLuwP3MbY","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_.jpg"
"The Godfather Part II","Crime,Drama","https://www.youtube.com/watch?v=9O1Iy9od7-A","https://m.media-amazon.com/images/M/MV5BNzc1OWY5MjktZDllMi00ZDEzLWEwMGItYjk1YmRhYjBjNTVlXkEyXkFqcGc@._V1_.jpg"
"12 Angry Men","Crime,Drama","https://www.youtube.com/watch?v=TEN-2uTi2c0","https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_.jpg"
"The Lord of the Rings: The Return of the King","Adventure,Drama,Fantasy","https://www.youtube.com/watch?v=zckJCxYxn1g","https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_.jpg"
"Schindler's List","Biography,Drama,History","https://www.youtube.com/watch?v=kXYcYhckXD8","https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_.jpg"
"Pulp Fiction","Crime,Drama","https://www.youtube.com/watch?v=tGpTpVyI_OQ","https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_.jpg"
"The Lord of the Rings: The Fellowship of the Ring","Adventure,Drama,Fantasy","https://www.youtube.com/watch?v=_nZdmwHrcnw","https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_.jpg"
"The Good, the Bad and the Ugly","Adventure,Western","https://www.youtube.com/watch?v=3VQjSSB78es","https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_.jpg"
"Forrest Gump","Drama,Romance","https://www.youtube.com/watch?v=Mj9IA9tTfio","https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_.jpg"
"The Lord of the Rings: The Two Towers","Adventure,Drama,Fantasy","https://www.youtube.com/watch?v=nuTU5XcZTLA","https://m.media-amazon.com/images/M/MV5BMGQxMDdiOWUtYjc1Ni00YzM1LWE2NjMtZTg3Y2JkMjEzMTJjXkEyXkFqcGc@._V1_.jpg"
